url;name;country;price;color;taste;yearPos;usdPrice;colorFac
http://winestyle.ru/products/Abrau-Durso-Brut.html;Abrau-Durso, Brut;Russia;396;white;dry;NA;6;white
http://winestyle.ru/products/Abrau-Durso-Semidolce.html;Abrau-Durso, Semidolce;Russia;396;white;semi sweet;NA;6;white
http://winestyle.ru/products/Moet-Chandon-Brut-Imperial-in-gift-box.html;Moet & Chandon, Brut "Imperial", in gift box;France;4175;white;dry;NA;58;white
http://winestyle.ru/products/Martini-Prosecco-DOC.html;Martini Prosecco DOC;Italy;953;white;dry;NA;13;white
http://winestyle.ru/products/Santero-Brut.html;Santero, Brut;Italy;558;white;dry;NA;8;white
http://winestyle.ru/products/Gancia-Asti-DOCG-750.html;Gancia Asti DOCG;Italy;667;white;sweet;NA;9;white
http://winestyle.ru/products/Gancia-Brut.html;Gancia, Brut;Italy;775;white;dry;NA;11;white
http://winestyle.ru/products/Lambrusco-DellEmilia-Poderi-Alti-IGT-750.html;Lambrusco Dell'Emilia Poderi Alti IGT;Italy;411;white;semi sweet;NA;6;white
http://winestyle.ru/products/Santero-Prosecco-DOC.html;Santero, Prosecco DOC;Italy;730;white;dry;NA;10;white
http://winestyle.ru/products/Gancia-Grand-Reale-Dolce.html;Gancia, "Grand Reale" Dolce;Italy;390;white;sweet;NA;5;white
http://winestyle.ru/products/Gancia-Cuvee-Platinum-Valdobbiadene-Prosecco-DOCG-Superiore.html;Gancia, Valdobbiadene Prosecco DOCG Superiore;Italy;882;not assigned;dry;NA;12;not assigned
http://winestyle.ru/products/Abrau-Durso-Victor-Dravigny-Brut.html;Abrau-Durso, "Victor Dravigny" Brut;Russia;916;white;dry;NA;13;white
http://winestyle.ru/products/Gancia-P-R-Ose-Brut.html;Gancia Rose Brut;Italy;844;rose;dry;NA;12;rose
http://winestyle.ru/products/Jeio-Prosecco-DOC-Brut.html;Jeio Prosecco DOC Brut;Italy;1169;white;dry;NA;16;white
http://winestyle.ru/products/Abrau-Durso-Rose-semisecco.html;Abrau-Durso, Rose semisecco;Russia;396;rose;semi dry;NA;6;rose
http://winestyle.ru/products/Rossiyskoe-Champagne-Semi-Sweet.html;"Rossiyskoe Champagne" Semi-Sweet;Russia;186;white;semi sweet;NA;3;white
http://winestyle.ru/products/Marchesini-Lambrusco-Emilia-IGT-Bianco.html;"Marchesini" Lambrusco Emilia IGT, Bianco;Italy;440;white;semi sweet;NA;6;white
http://winestyle.ru/products/Lambrusco-Modena-IGT-750.html;Chiarli, Lambrusco Dell'Emilia IGT, Rosso Amabile;Italy;748;red;semi sweet;NA;10;red
http://winestyle.ru/products/Veuve-Clicquot-Brut-750.html;Veuve Clicquot Brut;France;4485;white;dry;NA;62;white
http://winestyle.ru/products/Abbazia-Lambrusco-Rosato-Frizzante-Emilia-IGT.html;Abbazia Lambrusco Rosato Frizzante, Emilia IGT;Italy;384;rose;semi sweet;NA;5;rose
http://winestyle.ru/products/Cavicchioli-Bianco-da-Lambrusco-Dolce.html;Cavicchioli, Bianco da Lambrusco;Italy;493;white;semi sweet;NA;7;white
http://winestyle.ru/products/Patriarche-Heritage-Brut-gift-box.html;Patriarche, "Heritage" Brut, gift box;France;913;white;dry;NA;13;white
http://winestyle.ru/products/Mondoro-Silver-Semi-Secco-with-gift-box.html;Mondoro Silver Semi Secco with gift box;Italy;1100;white;semi dry;NA;15;white
http://winestyle.ru/products/Moet-Chandon-Brut-Imperial-Rose-in-gift-box-2009.html;Moet & Chandon Brut Imperial Rose in gift box;France;5138;rose;dry;NA;71;rose
http://winestyle.ru/products/Cinzano-Asti-Spumante-DOCG.html;Cinzano, Asti Spumante DOCG;Italy;912;white;sweet;NA;13;white
http://winestyle.ru/products/Duc-de-Valmer-Brut.html;Duc de Valmer Brut;France;675;white;dry;NA;9;white
http://winestyle.ru/products/Contarini-Valdobbiadene-Prosecco-Superiore-DOCG-Brut-Millesimato.html;Contarini, Valdobbiadene Prosecco Superiore DOCG Brut Millesimato;Italy;809;white;dry;NA;11;white
http://winestyle.ru/products/Abrau-Durso-Premium-Gold-Brut.html;Abrau-Durso Premium Gold, Brut;Russia;989;white;dry;NA;14;white
http://winestyle.ru/products/Giacobazzi-Lambrusco-dell-Emilia-IGT-Rosso.html;Giacobazzi, Lambrusco dell'Emilia IGT Rosso;Italy;495;red;semi sweet;NA;7;red
http://winestyle.ru/products/Patriarche-Heritage-Brut.html;Patriarche Heritage Brut;France;761;white;dry;NA;11;white
http://winestyle.ru/products/Martini-Brut.html;Martini Brut;Italy;1087;white;dry;NA;15;white
http://winestyle.ru/products/Asti-Mondoro-750.html;Asti Mondoro with gift box;Italy;1324;white;sweet;NA;18;white
http://winestyle.ru/products/Veuve-Clicquot-Brut-Rose-with-gift-box.html;Veuve Clicquot, Brut Rose, with gift box;France;5737;rose;dry;NA;80;rose
http://winestyle.ru/products/Martini-Brut-gift-box.html;Martini Brut, gift box;Italy;1195;white;dry;NA;17;white
http://winestyle.ru/products/Nino-Franco-Rustico-Treviso-DOC.html;Nino Franco,"Rustico", Treviso DOC;Italy;1538;white;dry;NA;21;white
http://winestyle.ru/products/Prosecco-Valdobbiadene-Gialloro-DOC.html;Prosecco Valdobbiadene Giall'Oro DOC;Italy;1889;white;dry;NA;26;white
http://winestyle.ru/products/Ruinart-Rose-coffret.html;Ruinart, Rose in gift box;France;6429;rose;dry;NA;89;rose
http://winestyle.ru/products/Master-Legacy-Lev-Lolytzin-Demi-Sweet.html;"Master Legacy "Lev Golytzin" Demi-Sweet;Russia;293;not assigned;not assigned;NA;4;not assigned
http://winestyle.ru/products/Saint-Petersburg-Traditional-Brut.html;"Saint-Petersburg Traditional", Brut;Russia;188;white;dry;NA;3;white
http://winestyle.ru/products/Freschello-Piu-Rosato.html;"Freschello Piu" Rosato;Italy;491;rose;dry;NA;7;rose
http://winestyle.ru/products/De-Perriere-Blanc-de-Blancs-Brut.html;De Perriere Blanc de Blancs Brut;France;1064;white;dry;NA;15;white
http://winestyle.ru/products/R-de-Ruinart.html;«R» de Ruinart Brut;France;4721;white;dry;NA;66;white
http://winestyle.ru/products/Canella-Bellini.html;Canella, "Bellini";Italy;1308;rose;not assigned;NA;18;rose
http://winestyle.ru/products/Catherine-Necklace.html;"Catherine Necklace";Russia;283;rose;semi sweet;NA;4;rose
http://winestyle.ru/products/Abrau-Durso-Imperial-Brut-L-Art-Nouveau-gift-box.html;Abrau-Durso, "Imperial" Brut L’Art Nouveau, gift box;Russia;1757;white;dry;NA;24;white
http://winestyle.ru/products/Casa-Defra-Prosecco.html;Casa Defra Prosecco, 200 ìë;Italy;393;white;dry;NA;5;white
http://winestyle.ru/products/Santero-Moscato.html;Santero, Moscato;Italy;585;white;sweet;NA;8;white
http://winestyle.ru/products/Cavicchioli-Grasparossa-Secco-DOC.html;Cavicchioli, Grasparossa Secco DOC;Italy;627;red;dry;NA;9;red
http://winestyle.ru/products/Canti-Pinot-Grigio-Brut.html;Canti, Pinot Grigio Brut;Italy;891;white;dry;NA;12;white
http://winestyle.ru/products/Asti-Mondoro-in-gift-box.html;Asti Mondoro in gift box, 1500 ìë;Italy;2508;white;sweet;NA;35;white
http://winestyle.ru/products/Abrau-Durso-Victor-Dravigny-Rouge.html;Abrau-Durso, "Victor Dravigny" Rouge;Russia;916;red;semi sweet;NA;13;red
http://winestyle.ru/products/Codorniu-Clasico-Brut.html;"Codorniu" Clasico Brut;Spain;943;white;dry;NA;13;white
http://winestyle.ru/products/PassaParola-Prosecco-DOC-Spumante-Brut.html;"PassaParola", Prosecco DOC Spumante Brut;Italy;1129;white;dry;NA;16;white
http://winestyle.ru/products/Valdo-Prosecco-Treviso-DOC-gift-box.html;Valdo, Prosecco, Treviso DOC, gift box;Italy;1322;white;dry;NA;18;white
http://winestyle.ru/products/Master-Legacy-Lev-Lolytzin-Demi-Sec.html;"Master Legacy "Lev Golytzin" Demi-Sec;Russia;293;not assigned;not assigned;NA;4;not assigned
http://winestyle.ru/products/Simonnet-Febvre-Cremant-de-Bourgogne-Brut-Rose-gift-box.html;Simonnet-Febvre, "Cremant de Bourgogne" Brut Rose, gift box;France;1859;rose;dry;NA;26;rose
http://winestyle.ru/products/Segura-Viudas-Cava-Brut-Reserva-Heredad-gift-box.html;Segura Viudas, Cava Brut "Reserva Heredad", gift box;Spain;2759;white;dry;NA;38;white
http://winestyle.ru/products/Mondoro-Gran-Cuvee-Rose-gift-box.html;Mondoro, "Gran Cuvee" Rose, gift box;Italy;1423;not assigned;not assigned;NA;20;not assigned
http://winestyle.ru/products/Abbazia-Asti-Spumante-DOCG-gift-box.html;"Abbazia" Asti Spumante DOCG, gift box;Italy;774;white;sweet;NA;11;white
http://winestyle.ru/products/Cavicchioli-Lambrusco-Salamino-Di-Santa-Croce-Semisecco.html;Cavicchioli, "Lambrusco Salamino Di Santa Croce" Semisecco;Italy;750;red;semi dry;NA;10;red
http://winestyle.ru/products/Grande-Cuvee-1531-de-Aimery-Cremant-de-Limoux.html;"Grande Cuvee 1531" de Aimery, Cremant de Limoux;France;1292;white;dry;NA;18;white
http://winestyle.ru/products/Cristal-AOC-2006-gift-box.html;"Cristal" AOC, 2006, gift box;France;19487;white;dry;2006;271;white
http://winestyle.ru/products/Freixenet-Cava-Carta-Nevada-Semi-Seco.html;Freixenet Cava Carta Nevada Semi Seco;Spain;1267;white;semi dry;NA;18;white
http://winestyle.ru/products/Abrau-Durso-Abrau-Light-Rose.html;Abrau-Durso, Abrau Light, Rose;Russia;341;rose;semi sweet;NA;5;rose
http://winestyle.ru/products/Riunite-Lambrusco-Rosso-Emilia-IGT.html;Riunite, Lambrusco Rosso, Emilia IGT;Italy;553;red;semi sweet;NA;8;red
http://winestyle.ru/products/Duc-de-Valmer-Demi-Sec.html;Duc de Valmer Demi-Sec;France;675;white;semi dry;NA;9;white
http://winestyle.ru/products/Cavicchioli-Malvasia.html;Cavicchioli, Malvasia;Italy;675;white;semi sweet;NA;9;white
http://winestyle.ru/products/Santero-Asti-DOCG.html;Santero, Asti DOCG;Italy;739;white;sweet;NA;10;white
http://winestyle.ru/products/Patriarche-Heritage-Rose.html;Patriarche Heritage Rose;France;761;rose;dry;NA;11;rose
http://winestyle.ru/products/Morando-Ferrina-Prosecco-DOC-Brut.html;Morando, "Ferrina" Prosecco DOC Brut;Italy;773;white;dry;NA;11;white
http://winestyle.ru/products/Trivento-Brut-Nature.html;Trivento, Brut Nature;Argentina;723;white;dry;NA;10;white
http://winestyle.ru/products/Gancia-Asti-Vintage-DOCG-gift-box.html;Gancia, Asti Vintage DOCG, gift box;Italy;847;white;sweet;NA;12;white
http://winestyle.ru/products/Modavin-Spumante-Brut-Prosecco-DOC.html;"Modavin" Spumante Brut Prosecco DOC;Italy;838;white;dry;NA;12;white
http://winestyle.ru/products/Toso-Prosecco-DOC-750.html;Toso, Prosecco DOC;Italy;842;white;dry;NA;12;white
